24.6609 	EXP 	window1: blendMode = 'avg'
24.6775 	EXP 	window1: blendMode = 'avg'
24.6942 	EXP 	window1: blendMode = 'avg'
24.7108 	EXP 	window1: blendMode = 'avg'
24.7276 	EXP 	window1: blendMode = 'avg'
24.7443 	EXP 	window1: blendMode = 'avg'
24.7608 	EXP 	window1: blendMode = 'avg'
24.7775 	EXP 	window1: blendMode = 'avg'
24.7942 	EXP 	window1: blendMode = 'avg'
24.8109 	EXP 	window1: blendMode = 'avg'
24.8276 	EXP 	window1: blendMode = 'avg'
24.8442 	EXP 	window1: blendMode = 'avg'
24.8608 	EXP 	window1: blendMode = 'avg'
24.8774 	EXP 	window1: blendMode = 'avg'
24.8941 	EXP 	window1: blendMode = 'avg'
24.9108 	EXP 	window1: blendMode = 'avg'
24.9275 	EXP 	window1: blendMode = 'avg'
24.9442 	EXP 	window1: blendMode = 'avg'
24.9608 	EXP 	window1: blendMode = 'avg'
24.9774 	EXP 	window1: blendMode = 'avg'
24.9941 	EXP 	window1: blendMode = 'avg'
25.0108 	EXP 	window1: blendMode = 'avg'
25.0274 	EXP 	window1: blendMode = 'avg'
25.0441 	EXP 	window1: blendMode = 'avg'
25.0607 	EXP 	window1: blendMode = 'avg'
25.0774 	EXP 	window1: blendMode = 'avg'
25.0941 	EXP 	window1: blendMode = 'avg'
25.1107 	EXP 	window1: blendMode = 'avg'
25.1274 	EXP 	window1: blendMode = 'avg'
25.1440 	EXP 	window1: blendMode = 'avg'
25.1608 	EXP 	window1: blendMode = 'avg'
25.1774 	EXP 	window1: blendMode = 'avg'
25.1943 	EXP 	window1: blendMode = 'avg'
25.2109 	EXP 	window1: blendMode = 'avg'
25.2274 	EXP 	window1: blendMode = 'avg'
25.2440 	EXP 	window1: blendMode = 'avg'
25.2607 	EXP 	window1: blendMode = 'avg'
25.2774 	EXP 	window1: blendMode = 'avg'
25.2941 	EXP 	window1: blendMode = 'avg'
25.3106 	EXP 	window1: blendMode = 'avg'
25.3273 	EXP 	window1: blendMode = 'avg'
25.3440 	EXP 	window1: blendMode = 'avg'
25.3607 	EXP 	window1: blendMode = 'avg'
25.3773 	EXP 	window1: blendMode = 'avg'
25.3940 	EXP 	window1: blendMode = 'avg'
25.4106 	EXP 	window1: blendMode = 'avg'
25.4272 	EXP 	window1: blendMode = 'avg'
25.4439 	EXP 	window1: blendMode = 'avg'
25.4606 	EXP 	window1: blendMode = 'avg'
25.4773 	EXP 	window1: blendMode = 'avg'
25.4940 	EXP 	window1: blendMode = 'avg'
25.5106 	EXP 	window1: blendMode = 'avg'
25.5272 	EXP 	window1: blendMode = 'avg'
25.5441 	EXP 	window1: blendMode = 'avg'
25.5606 	EXP 	window1: blendMode = 'avg'
25.5773 	EXP 	window1: blendMode = 'avg'
25.5940 	EXP 	window1: blendMode = 'avg'
25.6106 	EXP 	window1: blendMode = 'avg'
25.6272 	EXP 	window1: blendMode = 'avg'
25.6438 	EXP 	window1: blendMode = 'avg'
25.6605 	EXP 	window1: blendMode = 'avg'
25.6772 	EXP 	window1: blendMode = 'avg'
25.6939 	EXP 	window1: blendMode = 'avg'
25.7106 	EXP 	window1: blendMode = 'avg'
25.7272 	EXP 	window1: blendMode = 'avg'
25.7439 	EXP 	window1: blendMode = 'avg'
25.7605 	EXP 	window1: blendMode = 'avg'
25.7771 	EXP 	window1: blendMode = 'avg'
25.7944 	EXP 	window1: blendMode = 'avg'
25.8106 	EXP 	window1: blendMode = 'avg'
25.8272 	EXP 	window1: blendMode = 'avg'
25.8438 	EXP 	window1: blendMode = 'avg'
25.8605 	EXP 	window1: blendMode = 'avg'
25.8771 	EXP 	window1: blendMode = 'avg'
25.8938 	EXP 	window1: blendMode = 'avg'
25.9104 	EXP 	window1: blendMode = 'avg'
25.9272 	EXP 	window1: blendMode = 'avg'
25.9438 	EXP 	window1: blendMode = 'avg'
25.9605 	EXP 	window1: blendMode = 'avg'
25.9771 	EXP 	window1: blendMode = 'avg'
25.9937 	EXP 	window1: blendMode = 'avg'
26.0104 	EXP 	window1: blendMode = 'avg'
26.0271 	EXP 	window1: blendMode = 'avg'
26.0438 	EXP 	window1: blendMode = 'avg'
26.0605 	EXP 	window1: blendMode = 'avg'
26.0772 	EXP 	window1: blendMode = 'avg'
26.0938 	EXP 	window1: blendMode = 'avg'
